Sl. ,Date of Entry,Details,Amount in Tk.(Debit),Amount/Billed in Tk.(Credit),Cost of Goods in Tk. ,Transportation in Tk. ,Total in Tk. ,Review & Comments ,Due Settlment
1,06-04-2026,Advance received from Assef ,"100,000",,,,,,
2,07-04-2026,Delivered by Ador- Hossain General Store ,,"31,838",,,,,
3,08-04-2026,Delivered by Ador- Hossain General Store ,,"47,891",,,,,
4,09-04-2026,Delivered by Sunny- Hossain Meat & Poultry,,,"77,141","2,710","79,851",,Paid on 12-04-2026
5,10-04-2026,Order halted by Latif Sir- Harnest & Taj Printers,,,--,--,,ফ্যাক্টরির  অভ্যন্তরীণ কাজের জন্য ফ্যাক্টরি বন্ধ থাকবে l ,
6,11-04-2026,Delivered Hossain Meat & Co. ,,,"38,271",2400,"40,671",,Paid on 12-04-2026
7,12-4-2026,Delivered Hossain Meat & Co. ,,,"58,053",2500,"60,553",,Paid on 16-04-2026
8,13-04-2026,Delivered Hossain Meat & Co. ,,,"50,363",2500,"52,863",,Paid on 16-04-2027
9,14-04-2026,Delivered Hossain Meat & Co. ,,,"9,797","2,500","12,297",,Paid on 16-04-2028
10,15-04-2026,Delivered Hossain Meat & Co. ,,,"54,336","2,500","56,836",,Paid on 19-04-2029
11,16-04-2026,Delivered Hossain Meat & Co. ,,,"62,714","2,500","65,214",,Paid on 19-04-2030
12,17-04-2026,Delivered Hossain Meat & Co. ,,,"13,777","2,400","16,177",,Paid on 21-04-2031
13,18-04-2026,Delivered Hossain Meat & Co. ,,,"38,788","2,500","41,288",,Paid on 21-04-2032
14,19-04-2026,Delivered Hossain Meat & Co. ,,,"61,350","2,500","63,850",,Paid on 21-04-2033
15,20-04-2026,Delivered Hossain Meat & Co. ,,,"63,727","2,500","66,227",,Paid on 21-04-2034
16,20-04-2026,Invoiced @ 15% margin,,"639,201",,,"555,827",,
17,20-04-2026,Amount received from Assef ,"700,000",,,,,,
,,Balance brought forward from 20-04-2026,"81,070",,,,,,
