Sl. ,Date of Entry,Details,Amount in Tk.(Debit),Amount/Billed in Tk.(Credit),Cost of Goods in Tk. ,Transportation in Tk. ,Total Cost in Tk. ,,Review & Comments ,Due Settlement
1,21-04-2026,Delivered Hossein Meat & Co. ,,"42,404","32,837","2,500","35,337",,Paid on 27-04-2026,
2,22-04-2026,Delivered Hossein Meat & Co. ,,"83,534","67,112","2,500","69,612",,Paid on 27-04-2027,
3,23-04-2026,Delivered Hossein Meat & Co. ,,"80,540","64,617","2,500","67,117",,Paid on 27-04-2028,
4,24-04-2026,Delivered Hossein Meat & Co. ,,"13,781","10,084.50","1,400","11,485",,Paid on 27-04-2029,
5,25-04-2026,Delivered Hossein Meat & Co. ,,"52,544","41,287","2,500","43,787",,Paid on 27-04-2030,
6,26-04-2026,Delivered Hossein Meat & Co. ,,"86,616","69,680","2,500","72,180",,Paid on 30-04-26,
7,27-04-2026,Delivered Hossein Meat & Co. ,,"81,127","65,106","2,500","67,606",,Paid on 30-04-26,
8,28-04-2026,Delivered Hossein Meat & Co. ,,"49,518","38,765","2,500","41,265",,Paid on 30-04-26,
9,29-04-2026,Delivered Hossein Meat & Co. ,,"76,238","61,032","2,500","63,532",,Paid on 30-04-29,
10,30-04-2026,Delivered Hossein Meat & Co. ,,"85,948","69,126","2,500","71,623",,,
11,30-04-2026,Delivered Hossein Meat & Co. Manufactured by Mishti Kotha Sweets & Bakery (26th - 30th) ,,"36,750",,,,,,
12,30-04-2027,Total Amount ,,"689,002",,,,,,
